sce	Saccharomyces_cerevisiae_(budding_yeast)
ago	Ashbya_gossypii_(Eremothecium_gossypii)
erc	Eremothecium_cymbalariae
kla	Kluyveromyces_lactis
kmx	Kluyveromyces_marxianus
lth	Lachancea_thermotolerans
vpo	Vanderwaltozyma_polyspora
zro	Zygosaccharomyces_rouxii
cgr	Candida_glabrata
ncs	Naumovozyma_castellii
ndi	Naumovozyma_dairenensis
tpf	Tetrapisispora_phaffii
tbl	Tetrapisispora_blattae
tdl	Torulaspora_delbrueckii
kaf	Kazachstania_africana
ppa	Komagataella_phaffii
dha	Debaryomyces_hansenii
pic	Scheffersomyces_stipitis
pgu	Meyerozyma_guilliermondii
spaa	Spathaspora_passalidarum
lel	Lodderomyces_elongisporus
cal	Candida_albicans
ctp	Candida_tropicalis
cot	Candida_orthopsilosis
cdu	Candida_dubliniensis
cten	Yamadazyma_tenuis
yli	Yarrowia_lipolytica
clu	Clavispora_lusitaniae_ATCC_42720
clus	Clavispora_lusitaniae_CBS_6936
caur	Candida_auris
slb	Sugiyamaella_lignohabitans
pkz	Pichia_kudriavzevii
ncr	Neurospora_crassa
nte	Neurospora_tetrasperma
smp	Sordaria_macrospora
pan	Podospora_anserina
ttt	Thermothielavioides_terrestris
mtm	Thermothelomyces_thermophilus
cthr	Chaetomium_thermophilum
mgr	Pyricularia_oryzae
tmn	Phaeoacremonium_minimum
ssck	Sporothrix_schenckii
fgr	Fusarium_graminearum
fpu	Fusarium_pseudograminearum
fvr	Fusarium_verticillioides
fox	Fusarium_oxysporum
nhe	Nectria_haematococca
tre	Trichoderma_reesei_QM6a
trr	Trichoderma_reesei_RUT_C-30
maw	Metarhizium_acridum
maj	Metarhizium_robertsii
cmt	Cordyceps_militaris
plj	Purpureocillium_lilacinum
val	Verticillium_alfalfae
vda	Verticillium_dahliae
cfj	Colletotrichum_fioriniae
sapo	Scedosporium_apiospermum
ela	Eutypa_lata
pfy	Pestalotiopsis_fici
ssl	Sclerotinia_sclerotiorum
bfu	Botrytis_cinerea
mbe	Marssonina_brunnea
psco	Phialocephala_scopiformis
glz	Glarea_lozoyensis
ani	Aspergillus_nidulans
afm	Aspergillus_fumigatus
act	Aspergillus_clavatus
nfi	Aspergillus_fischeri
aor	Aspergillus_oryzae
ang	Aspergillus_niger
afv	Aspergillus_flavus
pcs	Penicillium_rubens
pdp	Penicillium_digitatum
tmf	Talaromyces_marneffei
cim	Coccidioides_immitis
cpw	Coccidioides_posadasii
pbl	Paracoccidioides_lutzii_Pb01
pbn	Paracoccidioides_brasiliensis
ure	Uncinocarpus_reesii
abe	Trichophyton_benhamiae
tve	Trichophyton_verrucosum
aje	Histoplasma_capsulatum
bgh	Blastomyces_gilchristii
pno	Parastagonospora_nodorum
pte	Pyrenophora_teres
bze	Bipolaris_zeicola
bsc	Bipolaris_sorokiniana
bor	Bipolaris_oryzae
aalt	Alternaria_alternata
ztr	Zymoseptoria_tritici
pfj	Pseudocercospora_fijiensis
bcom	Baudoinia_panamericana
npa	Neofusicoccum_parvum
tml	Tuber_melanosporum
spo	Schizosaccharomyces_pombe_(fission_yeast)
cne	Cryptococcus_neoformans_var._neoformans_JEC21
cnb	Cryptococcus_neoformans_var._neoformans_B-3501A
cgi	Cryptococcus_gattii
tms	Tremella_mesenterica
tasa	Trichosporon_asahii_var._asahii
ppl	Postia_placenta
tvs	Trametes_versicolor
dsq	Dichomitus_squalens
pco	Phanerochaete_carnosa
shs	Stereum_hirsutum
hir	Heterobasidion_irregulare
psq	Punctularia_strigosozonata
adl	Auricularia_subglabra
fme	Fomitiporia_mediterranea
gtr	Gloeophyllum_trabeum
lbc	Laccaria_bicolor
mpr	Moniliophthora_perniciosa
mrr	Moniliophthora_roreri
cci	Coprinopsis_cinerea
scm	Schizophyllum_commune
abp	Agaricus_bisporus_var._burnettii_JB137-S8
abv	Agaricus_bisporus_var._bisporus_H97
cput	Coniophora_puteana
sla	Serpula_lacrymans
wse	Wallemia_mellicola
wic	Wallemia_ichthyophaga
uma	Ustilago_maydis
pfp	Anthracocystis_flocculosa
mgl	Malassezia_globosa
mrt	Malassezia_restricta
msym	Malassezia_sympodialis
pgr	Puccinia_graminis
mlr	Melampsora_larici-populina
ecu	Encephalitozoon_cuniculi
ein	Encephalitozoon_intestinalis
ehe	Encephalitozoon_hellem
ero	Encephalitozoon_romaleae
nce	Nosema_ceranae
mbr	Monosiga_brevicollis
sre	Salpingoeca_rosetta
ddi	Dictyostelium_discoideum_(cellular_slime_mold)
dpp	Dictyostelium_purpureum_(cellular_slime_mold)
dfa	Cavenderia_fasciculata_(cellular_slime_mold)
ehi	Entamoeba_histolytica
edi	Entamoeba_dispar
eiv	Entamoeba_invadens
acan	Acanthamoeba_castellanii
pfa	Plasmodium_falciparum_3D7
pfd	Plasmodium_falciparum_Dd2
pfh	Plasmodium_falciparum_HB3
pyo	Plasmodium_yoelii
pcb	Plasmodium_chabaudi
pbe	Plasmodium_berghei
pkn	Plasmodium_knowlesi
pvx	Plasmodium_vivax
pcy	Plasmodium_cynomolgi
tan	Theileria_annulata
tpv	Theileria_parva
tot	Theileria_orientalis
beq	Theileria_equi
bbo	Babesia_bovis
bmic	Babesia_microti
cpv	Cryptosporidium_parvum
cho	Cryptosporidium_hominis
tgo	Toxoplasma_gondii
tet	Tetrahymena_thermophila
ptm	Paramecium_tetraurelia
smin	Breviolum_minutum
pti	Phaeodactylum_tricornutum
fcy	Fragilariopsis_cylindrus
tps	Thalassiosira_pseudonana
ngd	Nannochloropsis_gaditana
aaf	Aureococcus_anophagefferens
pif	Phytophthora_infestans
psoj	Phytophthora_sojae
spar	Saprolegnia_parasitica
ehx	Emiliania_huxleyi
gtt	Guillardia_theta
tbr	Trypanosoma_brucei_brucei
tbg	Trypanosoma_brucei_gambiense
tcr	Trypanosoma_cruzi
lma	Leishmania_major
lif	Leishmania_infantum
ldo	Leishmania_donovani
lmi	Leishmania_mexicana
lbz	Leishmania_braziliensis
lpan	Leishmania_panamensis
ngr	Naegleria_gruberi
tva	Trichomonas_vaginalis
gla	Giardia_lamblia
eco	Escherichia_coli_K-12_MG1655
ecj	Escherichia_coli_K-12_W3110
ecd	Escherichia_coli_K-12_DH10B
ebw	Escherichia_coli_K-12_BW2952
ecok	Escherichia_coli_K-12_MDS42
ece	Escherichia_coli_O157:H7_EDL933_(EHEC)
ecs	Escherichia_coli_O157:H7_Sakai_(EHEC)
ecf	Escherichia_coli_O157:H7_EC4115_(EHEC)
etw	Escherichia_coli_O157:H7_TW14359_(EHEC)
elx	Escherichia_coli_O157:H7_Xuzhou21_(EHEC)
eoi	Escherichia_coli_O111:H-_11128_(EHEC)
eoj	Escherichia_coli_O26:H11_11368_(EHEC)
eoh	Escherichia_coli_O103:H2_12009_(EHEC)
ecoo	Escherichia_coli_O145:H28_RM13514_(EHEC)
ecoh	Escherichia_coli_O145:H28_RM13516_(EHEC)
esl	Escherichia_coli_O104:H4_2011C-3493_(EAEC)
eso	Escherichia_coli_O104:H4_2009EL-2071_(EAEC)
esm	Escherichia_coli_O104:H4_2009EL-2050_(EAEC)
eck	Escherichia_coli_55989_(EAEC)
ecg	Escherichia_coli_O127:H6_E2348/69_(EPEC)
eok	Escherichia_coli_O55:H7_CB9615_(EPEC)
elr	Escherichia_coli_O55:H7_RM12579_(EPEC)
elh	Escherichia_coli_O78:H11:K80_H10407_(ETEC)
ecw	Escherichia_coli_O139:H28_E24377A_(ETEC)
eun	Escherichia_coli_UMNK88_(ETEC,_porcine)
ecp	Escherichia_coli_O6:K15:H31_536_(UPEC)
ena	Escherichia_coli_NA114_(UPEC)
ecos	Escherichia_coli_O25b:K100:H4-ST131_EC958_(UPEC)
ecv	Escherichia_coli_APEC_O1_(APEC)
ecoa	Escherichia_coli_APEC_O78_(APEC)
ecx	Escherichia_coli_O9_HS_(commensal)
ecm	Escherichia_coli_SMS-3-5_(environmental)
ecy	Escherichia_coli_O152:H28_SE11_(commensal)
ecr	Escherichia_coli_O8_IAI1_(commensal)
ecq	Escherichia_coli_O81_ED1a_(commensal)
eum	Escherichia_coli_O17:K52:H18_UMN026_(ExPEC)
ect	Escherichia_coli_O7:K1_IAI39_(ExPEC)
eoc	Escherichia_coli_O7:K1_CE10
ebr	Escherichia_coli_B_REL606
ebl	Escherichia_coli_BL21(DE3)
ebe	Escherichia_coli_BL21(DE3)
ebd	Escherichia_coli_BL21-Gold(DE3)pLysS_AG
eci	Escherichia_coli_O18:K1:H7_UTI89_(UPEC)
eih	Escherichia_coli_O18:K1:H7_IHE3034_(ExPEC)
ecz	Escherichia_coli_O45:K1:H7_S88_(ExPEC)
ecc	Escherichia_coli_O6:K2:H1_CFT073_(UPEC)
elo	Escherichia_coli_O44:H18_042_(EAEC)
eln	Escherichia_coli_O83:H1_NRG_857C_(AIEC)
ese	Escherichia_coli_O150:H5_SE15_(commensal)
ecl	Escherichia_coli_ATCC_8739
eko	Escherichia_coli_KO11FL
ekf	Escherichia_coli_KO11FL
eab	Escherichia_coli_ABU_83972
edh	Escherichia_coli_DH1
edj	Escherichia_coli_DH1
elu	Escherichia_coli_UM146
elw	Escherichia_coli_W
ell	Escherichia_coli_W
elc	Escherichia_coli_clone_D_i14
eld	Escherichia_coli_clone_D_i2
elp	Escherichia_coli_P12b
elf	Escherichia_coli_LF82
ecol	Escherichia_coli_LY180
ecoi	Escherichia_coli_PMV-1
ecoj	Escherichia_coli_JJ1886
efe	Escherichia_fergusonii
eal	Escherichia_albertii
ema	Escherichia_marmotae
esz	Escherichia_sp._E4742
